id;entorno;nombre;etapa;tipo;area_responsable;descripcion;monto_contrato;comuna;barrio;direccion;lat;lng;fecha_inicio;fecha_fin_inicial;plazo_meses;porcentaje_avance;imagen_1;imagen_2;imagen_3;imagen_4;licitacion_oferta_empresa;licitacion_anio;contratacion_tipo;nro_contratacion;cuit_contratista;beneficiarios;mano_obra;compromiso;destacada;ba_elige;link_interno;pliego_descarga;expediente-numero;estudio_ambiental_descarga;financiamiento;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Donado Holmberg;Calle Holmberg: Nivelación en cruce;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;En el marco del proyecto urbano del Barrio Parque Donado Holmberg,se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí­sica y espacial a lo largo de toda su traza,mediante la nivelación de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomás le Bretón,Pedro Ignacio Iivera,Blanco Encalada,Mendoza,Virrey del Pino y Carbajal.;9950017;12;Villa Urquiza;HOLMBERG Y OLAZABAL AV.;-3,457,053,344;-5,847,561,404;16/3/2015;15/7/2016;16;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/nivelacioncrucesholmberg/nivelacion_holmberg.jpg;;;;Altote S.A;2014;Licitación Pública;957/2014;30707431896;;16;;;;https://www.buenosaires.gob.ar/baobras/Donado-Holmberg;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/165;5515928/2014;;;,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Área Ambiental Central;Área Ambiental Central: Calles Alsina Y Moreno;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa,realizando obras de nivelación,colocación de dársenas de carga y descarga,nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.;36942632;1;Montserrat;ALSINA,ADOLFO E IRIGOYEN,BERNARDO DE;-346,107,259;-5,838,060,019;12/1/2016;15/11/2017;22;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/3-1.jpg;;;;Rol Ingenieria S.A;2016;Licitación Pública;640-SIGAF/16;30578447659;;55;SI;;;https://www.buenosaires.gob.ar/baobras/area-ambiental-central;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev,php/licitation/index/id/227;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Área Ambiental Central;Área Ambiental Central: Calle Esmeralda I;Finalizada;Espacio Público;Secretarí­a de Transporte y Obras Públicas;La obra incluyó el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano,restringiendo el paso de colectivos. Además,se intalarón nuevas luminarias y se plantarón árboles.;26938294;1;San Nicolás;ESMERALDA Y CORRIENTES AV.;-3,460,348,697;-5,837,807,809;27/10/2014;28/2/2017;28;100;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal1.jpg;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal2.jpg;https://cdn2.buenosaires.gob.ar/desarrollourbano/sociopublico/esmeraldaunoprioridadpeatonal/calle_esmeralda_prioridadpeatonal3.jpg;;Dal Construcciones S.A;2014;Licitación Pública;305/2014;30604370171;;59;SI;;;https://www.buenosaires.gob.ar/baobras/area-ambiental-central;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/161;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Villa Olí­mpica;Villa Olí­mpica: Viviendas II;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.;148823367;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;15/2/2016;30/8/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/6-2.jpg;;;EMACO SA - CONSTRUCTORA LANUSSE SA -UTE;2015;Licitación Pública;115/2015;30714969362;;;SI;SI;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/185;16.821.753-0GPUYAJ2014;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Villa Olí­mpica;Villa Olí­mpica: Viviendas III;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;El tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.;179192366;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;25/2/2016;15/10/2017;20;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/7-2.jpg;;;Bricons S.A.I.C.F.I.;2015;Licitación Pública;329-329-MDUGC-2015;30541068151;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/188;1026045-1026045-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Villa Olí­mpica;Villa Olí­mpica: Viviendas IV;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.;163279322;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;15/2/2016;30/8/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/8-2.jpg;;;Dycasa S.A.;2015;Licitación Pública;395/2015;33516294189;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/189;2.163.614-MGEYA-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Villa Olí­mpica;Villa Olí­mpica: Viviendas IX;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.;137837183;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;28/3/2016;15/2/2018;23;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/9-1.jpg;;;;Criba S.A.;2015;Licitación Pública;580/2015;30505454436;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/196;12.809.363-MGEYA-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Villa Olí­mpica;Villa Olí­mpica: Viviendas V;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.;166503404;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;15/3/2016;30/9/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/10-2.jpg;;;Dycasa S.A.;2015;Licitación Pública;396/2015;33516294189;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/190;2.254.226-MGEYA-DGPUYA-2015;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;Villa Olí­mpica;Villa Olí­mpica: Viviendas VI;Finalizada;Vivienda;Secretarí­a de Transporte y Obras Públicas;La licitación Nº 6 contempló la construcción de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.;160833300;8;Villa Lugano;FERNANDEZ DE LA CRUZ,F.,GRAL. AV. Y ESCALADA AV.;-3,467,374,819;-5,845,900,361;15/2/2016;30/8/2017;18;100;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/11-1.jpg;https://cdn.buenosaires.gob.ar/datosabiertos/datasets/ba-obras/fotos/11-2.jpg;;;Criba S.A.;2015;Licitación Pública;450/2015;30505454436;;;SI;;;https://www.buenosaires.gob.ar/baobras/villa-olimpica;https://www.buenosaires.gov.ar/areas/planeamiento_obras/licitations/web/frontend_dev.php/licitation/index/id/191;EX-2015-03683859- -MGEYA-DGPUYA;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
